[1677845232.8241065][1234100][Stabilizer]: {'stabilizer.roll': -0.3207550346851349, 'stabilizer.pitch': -0.7795565724372864, 'stabilizer.yaw': 0.06434344500303268, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.8322868][1234110][Stabilizer]: {'stabilizer.roll': -0.31250447034835815, 'stabilizer.pitch': -0.7627792954444885, 'stabilizer.yaw': 0.06412738561630249, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.84299][1234120][Stabilizer]: {'stabilizer.roll': -0.3124975264072418, 'stabilizer.pitch': -0.7988077402114868, 'stabilizer.yaw': 0.06304173916578293, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.851535][1234130][Stabilizer]: {'stabilizer.roll': -0.2887907326221466, 'stabilizer.pitch': -0.7890766859054565, 'stabilizer.yaw': 0.06333805620670319, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.8635597][1234140][Stabilizer]: {'stabilizer.roll': -0.2883307933807373, 'stabilizer.pitch': -0.7951604723930359, 'stabilizer.yaw': 0.06438758224248886, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.8723366][1234150][Stabilizer]: {'stabilizer.roll': -0.29693302512168884, 'stabilizer.pitch': -0.7937290072441101, 'stabilizer.yaw': 0.06525151431560516, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.886166][1234160][Stabilizer]: {'stabilizer.roll': -0.3375091552734375, 'stabilizer.pitch': -0.7199116945266724, 'stabilizer.yaw': 0.06855444610118866, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.8939455][1234170][Stabilizer]: {'stabilizer.roll': -0.28757527470588684, 'stabilizer.pitch': -0.758729875087738, 'stabilizer.yaw': 0.06653399765491486, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.9020643][1234180][Stabilizer]: {'stabilizer.roll': -0.3041671812534332, 'stabilizer.pitch': -0.724629819393158, 'stabilizer.yaw': 0.0680389478802681, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.9136815][1234190][Stabilizer]: {'stabilizer.roll': -0.3533209264278412, 'stabilizer.pitch': -0.7226535081863403, 'stabilizer.yaw': 0.06852792203426361, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.9217792][1234200][Stabilizer]: {'stabilizer.roll': -0.2843187153339386, 'stabilizer.pitch': -0.7403483986854553, 'stabilizer.yaw': 0.06630510836839676, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.9320426][1234210][Stabilizer]: {'stabilizer.roll': -0.2931995391845703, 'stabilizer.pitch': -0.7828664779663086, 'stabilizer.yaw': 0.0647682473063469, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.9415755][1234220][Stabilizer]: {'stabilizer.roll': -0.2938874363899231, 'stabilizer.pitch': -0.789359450340271, 'stabilizer.yaw': 0.06436482816934586, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.9537144][1234230][Stabilizer]: {'stabilizer.roll': -0.35252833366394043, 'stabilizer.pitch': -0.7361716032028198, 'stabilizer.yaw': 0.06714057922363281, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.9618275][1234240][Stabilizer]: {'stabilizer.roll': -0.35049933195114136, 'stabilizer.pitch': -0.7459298372268677, 'stabilizer.yaw': 0.06645924597978592, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.9721377][1234250][Stabilizer]: {'stabilizer.roll': -0.3476184904575348, 'stabilizer.pitch': -0.710364580154419, 'stabilizer.yaw': 0.06759247183799744, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.9826605][1234260][Stabilizer]: {'stabilizer.roll': -0.31845834851264954, 'stabilizer.pitch': -0.7112645506858826, 'stabilizer.yaw': 0.0668143704533577, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845232.9922442][1234270][Stabilizer]: {'stabilizer.roll': -0.2739662826061249, 'stabilizer.pitch': -0.7913460731506348, 'stabilizer.yaw': 0.06297405064105988, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845233.004299][1234280][Stabilizer]: {'stabilizer.roll': -0.2739099860191345, 'stabilizer.pitch': -0.7435123324394226, 'stabilizer.yaw': 0.06498297303915024, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
